Namespace(Cluster_gamma=0.01, Feature_alpha=1.0, Label_beta=0.05, Use_tSNE=True, arch='resnet20_1w1a', batch_size=128, epochs=700, evaluate=False, lr=0.1, momentum=0.9, num_classes=10, print_freq=50, resume='', save_dir='saveModel-000', save_every=100, seed=2023, start_epoch=0, temperature=4.0, warm_up_epochs=8, weight_decay=0.0001, workers=4)
Epoch	train_loss	val_loss	train_acc	val_acc	
505	0.556	0.561	83.421	80.198
506	0.557	0.533	83.612	81.821
507	0.554	0.524	83.612	82.021
508	0.551	0.532	83.500	81.370
509	0.554	0.541	83.582	81.450
510	0.548	0.543	83.744	81.320
511	0.550	0.535	83.818	81.330
512	0.552	0.527	83.756	81.981
513	0.551	0.560	83.640	80.619
514	0.551	0.543	83.748	81.430
515	0.547	0.506	83.886	82.412
516	0.550	0.527	83.798	81.681
517	0.547	0.576	83.818	79.938
518	0.548	0.524	83.744	81.851
519	0.540	0.506	84.123	82.552
520	0.544	0.533	83.882	81.991
521	0.546	0.514	83.832	82.472
522	0.543	0.493	84.034	83.413
523	0.536	0.537	84.277	81.360
524	0.540	0.511	83.958	82.181
525	0.536	0.523	84.061	82.101
526	0.537	0.538	84.131	81.170
527	0.541	0.515	83.906	81.931
528	0.539	0.530	84.179	81.530
529	0.533	0.509	84.349	82.622
530	0.537	0.534	84.139	81.671
531	0.534	0.509	84.263	82.642
532	0.534	0.515	84.111	82.392
533	0.531	0.512	84.321	82.752
534	0.534	0.514	84.277	82.212
535	0.532	0.566	84.503	80.589
536	0.536	0.513	84.251	82.161
537	0.536	0.516	84.321	82.542
538	0.531	0.541	84.125	81.200
539	0.529	0.505	84.527	82.402
540	0.528	0.528	84.653	81.691
541	0.531	0.523	84.417	82.041
542	0.527	0.499	84.547	82.622
543	0.527	0.519	84.635	82.332
544	0.522	0.508	84.667	82.772
545	0.527	0.561	84.637	80.519
546	0.519	0.491	84.794	82.772
547	0.527	0.502	84.539	82.973
548	0.523	0.538	84.734	81.440
549	0.516	0.501	85.036	82.833
550	0.517	0.492	84.952	83.143
551	0.514	0.509	85.012	82.372
